"produktbereich","produktgruppe","produkt","produktgruppe_bez","E_A","haushaltsposition","jahr","euro"
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,1770
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,1770
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,394940
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,303000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,354190
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,170
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,170
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,170
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2013,180470
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2011,163580
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2012,172080
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2014,182210
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2013,404950
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2011,390370
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2012,395150
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2013,35140
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2011,32180
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2012,34360
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2013,830
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2011,800
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2012,850
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2013,71270
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2011,81200
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2012,75870
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2013,117570
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2011,102990
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2012,96080
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2013,10230
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2011,9970
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2012,9020
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Versorgungsaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2013,14440
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2011,13090
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2012,13770
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Personalaufwendungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,2700
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,2500
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,2500
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,600
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,1200
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,600
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,900
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,400
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,400
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,4400
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,4400
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,4400
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,25
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,50
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,40
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,8000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,9000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,13600
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,9000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,9000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,9000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,1900
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,1900
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,1900
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,1000
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,180
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,490
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,410
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2013,650
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2011,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2012,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.00,"10.00.00","Kreisorgane","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,400
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,400
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,400
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,12600
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,8000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,12600
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2013,123360
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2011,121590
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2012,120320
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Personalaufwendungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2013,21710
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2011,25290
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2012,23100
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2013,35810
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2011,32080
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2012,29260
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2013,6780
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2011,6530
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2012,5850
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Versorgungsaufwendungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,553250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,500000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,553250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,250
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,3500
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,4000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,4000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,420
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,420
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,420
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2015,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2016,""
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2013,7000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2011,7000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2012,7000
10,10.10,"10.10.01","Kreistagsbüro","A","Aufwendungen für Sach- und Dienstleistungen",2014,""
